iter	Passed	Remaining
0	0	155
1	1	145
2	2	143
3	2	142
4	3	140
5	4	136
6	4	134
7	5	133
8	6	131
9	6	130
10	7	129
11	8	129
12	8	128
13	9	126
14	10	125
15	10	124
16	11	123
17	12	121
18	12	120
19	13	120
20	14	119
21	14	119
22	15	118
23	16	117
24	16	116
25	17	116
26	17	115
27	18	114
28	19	113
29	19	113
30	20	112
31	21	111
32	21	110
33	22	110
34	23	109
35	23	108
36	24	107
37	25	107
38	25	106
39	26	105
40	27	104
41	27	104
42	28	103
43	29	103
44	29	102
45	30	102
46	31	101
47	31	100
48	32	100
49	33	99
50	33	98
51	34	98
52	35	97
53	35	96
54	36	96
55	37	95
56	37	94
57	38	94
58	39	93
59	39	92
60	40	92
61	41	91
62	41	90
63	42	89
64	43	89
65	43	88
66	44	88
67	45	87
68	45	87
69	46	86
70	47	86
71	47	85
72	48	84
73	49	84
74	49	83
75	50	82
76	51	81
77	51	81
78	52	80
79	53	79
80	53	79
81	54	78
82	54	77
83	55	76
84	56	75
85	56	75
86	57	74
87	58	74
88	58	73
89	59	72
90	60	71
91	60	71
92	61	70
93	61	69
94	62	69
95	63	68
96	63	67
97	64	66
98	64	66
99	65	65
100	66	64
101	66	64
102	67	63
103	68	62
104	68	62
105	69	61
106	70	61
107	70	60
108	71	59
109	72	58
110	72	58
111	73	57
112	74	56
113	74	56
114	75	55
115	75	54
116	76	54
117	77	53
118	77	52
119	78	52
120	78	51
121	79	50
122	80	50
123	80	49
124	81	48
125	82	48
126	82	47
127	83	46
128	84	46
129	84	45
130	85	44
131	86	44
132	86	43
133	87	42
134	87	42
135	88	41
136	89	40
137	89	40
138	90	39
139	90	38
140	91	38
141	92	37
142	92	36
143	93	36
144	93	35
145	94	34
146	95	34
147	95	33
148	96	33
149	97	32
150	97	31
151	98	31
152	98	30
153	99	29
154	100	29
155	100	28
156	101	27
157	101	27
158	102	26
159	103	25
160	103	25
161	104	24
162	104	23
163	105	23
164	106	22
165	106	21
166	107	21
167	108	20
168	108	19
169	109	19
170	109	18
171	110	17
172	111	17
173	111	16
174	112	16
175	112	15
176	113	14
177	114	14
178	114	13
179	115	12
180	116	12
181	116	11
182	117	10
183	118	10
184	118	9
185	119	8
186	119	8
187	120	7
188	121	7
189	121	6
190	122	5
191	123	5
192	123	4
193	124	3
194	125	3
195	125	2
196	126	1
197	127	1
198	127	0
199	128	0
